,HARPNUM,file_name,label
14168,3129,hmi.sharp_cea_720s.3129.20130904_150000_TAI,1
24418,7020,hmi.sharp_cea_720s.7020.20170523_080000_TAI,0
14374,3173,hmi.sharp_cea_720s.3173.20130914_000000_TAI,0
2608,407,hmi.sharp_cea_720s.407.20110313_180000_TAI,1
26480,7350,hmi.sharp_cea_720s.7350.20190322_140000_TAI,1
8387,1340,hmi.sharp_cea_720s.1340.20120127_080000_TAI,0
4248,744,hmi.sharp_cea_720s.744.20110727_020000_TAI,1
1747,366,hmi.sharp_cea_720s.366.20110208_030000_TAI,0
20069,5848,hmi.sharp_cea_720s.5848.20150807_140000_TAI,1
1665,345,hmi.sharp_cea_720s.345.20110126_000000_TAI,0
3504,622,hmi.sharp_cea_720s.622.20110531_000000_TAI,0
18912,5670,hmi.sharp_cea_720s.5670.20150616_080000_TAI,0
11168,2691,hmi.sharp_cea_720s.2691.20130426_080000_TAI,0
4155,717,hmi.sharp_cea_720s.717.20110711_130000_TAI,0
22526,6200,hmi.sharp_cea_720s.6200.20151221_000000_TAI,0
14591,4042,hmi.sharp_cea_720s.4042.20140425_130000_TAI,1
24788,7075,hmi.sharp_cea_720s.7075.20170714_090000_TAI,1
6040,902,hmi.sharp_cea_720s.902.20111001_100000_TAI,1
16869,4502,hmi.sharp_cea_720s.4502.20140905_000000_TAI,0
23234,6804,hmi.sharp_cea_720s.6804.20161017_080000_TAI,0
29789,8589,hmi.sharp_cea_720s.8589.20220910_140000_TAI,1
13715,3066,hmi.sharp_cea_720s.3066.20130817_080000_TAI,0
26332,7336,hmi.sharp_cea_720s.7336.20190130_100000_TAI,0
22320,6172,hmi.sharp_cea_720s.6172.20151212_170000_TAI,1
556,107,hmi.sharp_cea_720s.107.20100805_080000_TAI,0
20254,5880,hmi.sharp_cea_720s.5880.20150813_090000_TAI,1
5027,779,hmi.sharp_cea_720s.779.20110816_080000_TAI,0
1186,245,hmi.sharp_cea_720s.245.20101111_080000_TAI,0
10406,2605,hmi.sharp_cea_720s.2605.20130410_100000_TAI,1
21823,6054,hmi.sharp_cea_720s.6054.20151028_210000_TAI,1
9741,2504,hmi.sharp_cea_720s.2504.20130302_080000_TAI,0
26686,7401,hmi.sharp_cea_720s.7401.20200103_080000_TAI,0
10075,2557,hmi.sharp_cea_720s.2557.20130312_210000_TAI,0
10392,2605,hmi.sharp_cea_720s.2605.20130406_080000_TAI,0
11770,2739,hmi.sharp_cea_720s.2739.20130520_200000_TAI,1
17307,4610,hmi.sharp_cea_720s.4610.20141003_230000_TAI,1
7960,1275,hmi.sharp_cea_720s.1275.20120107_120000_TAI,1
15204,4131,hmi.sharp_cea_720s.4131.20140521_050000_TAI,1
10105,2557,hmi.sharp_cea_720s.2557.20130318_150000_TAI,1
15674,4228,hmi.sharp_cea_720s.4228.20140619_150000_TAI,0
24741,7075,hmi.sharp_cea_720s.7075.20170711_080000_TAI,1
13749,3068,hmi.sharp_cea_720s.3068.20130819_180000_TAI,1
27237,7487,hmi.sharp_cea_720s.7487.20201207_100000_TAI,0
19900,5820,hmi.sharp_cea_720s.5820.20150730_160000_TAI,0
24694,7075,hmi.sharp_cea_720s.7075.20170708_140000_TAI,1
20097,5848,hmi.sharp_cea_720s.5848.20150808_180000_TAI,1
27685,7554,hmi.sharp_cea_720s.7554.20210313_080000_TAI,0
24615,7053,hmi.sharp_cea_720s.7053.20170620_080000_TAI,0
3661,660,hmi.sharp_cea_720s.660.20110609_040000_TAI,0
23910,6951,hmi.sharp_cea_720s.6951.20170221_000000_TAI,0
13032,2952,hmi.sharp_cea_720s.2952.20130716_060000_TAI,1
6933,1092,hmi.sharp_cea_720s.1092.20111119_070000_TAI,1
14218,3140,hmi.sharp_cea_720s.3140.20130831_080000_TAI,0
14182,3129,hmi.sharp_cea_720s.3129.20130905_050000_TAI,1
6776,1080,hmi.sharp_cea_720s.1080.20111116_080000_TAI,0
23970,6952,hmi.sharp_cea_720s.6952.20170301_000000_TAI,0
18783,5653,hmi.sharp_cea_720s.5653.20150608_080000_TAI,0
25205,7115,hmi.sharp_cea_720s.7115.20170906_220000_TAI,1
23053,6769,hmi.sharp_cea_720s.6769.20160919_160000_TAI,0
29365,8540,hmi.sharp_cea_720s.8540.20220826_200000_TAI,1
19860,5808,hmi.sharp_cea_720s.5808.20150726_090000_TAI,1
7865,1271,hmi.sharp_cea_720s.1271.20120104_070000_TAI,1
21580,6015,hmi.sharp_cea_720s.6015.20151023_110000_TAI,1
27371,7493,hmi.sharp_cea_720s.7493.20201207_150000_TAI,1
5745,890,hmi.sharp_cea_720s.890.20110925_000000_TAI,0
20035,5848,hmi.sharp_cea_720s.5848.20150806_040000_TAI,1
21560,6015,hmi.sharp_cea_720s.6015.20151021_140000_TAI,1
22286,6172,hmi.sharp_cea_720s.6172.20151211_070000_TAI,1
2179,393,hmi.sharp_cea_720s.393.20110304_120000_TAI,1
3611,642,hmi.sharp_cea_720s.642.20110530_210000_TAI,0
14405,3177,hmi.sharp_cea_720s.3177.20130915_160000_TAI,0
23622,6885,hmi.sharp_cea_720s.6885.20161215_080000_TAI,0
25719,7235,hmi.sharp_cea_720s.7235.20180203_080000_TAI,0
527,104,hmi.sharp_cea_720s.104.20100801_000000_TAI,1
12082,2760,hmi.sharp_cea_720s.2760.20130526_080000_TAI,0
27135,7471,hmi.sharp_cea_720s.7471.20201112_050000_TAI,0
8642,1397,hmi.sharp_cea_720s.1397.20120215_080000_TAI,0
18302,5557,hmi.sharp_cea_720s.5557.20150517_080000_TAI,0
26054,7277,hmi.sharp_cea_720s.7277.20180623_080000_TAI,0
25221,7115,hmi.sharp_cea_720s.7115.20170907_160000_TAI,1
13210,2981,hmi.sharp_cea_720s.2981.20130726_150000_TAI,0
1782,371,hmi.sharp_cea_720s.371.20110212_000000_TAI,1
13204,2981,hmi.sharp_cea_720s.2981.20130720_030000_TAI,0
8153,1303,hmi.sharp_cea_720s.1303.20120111_000000_TAI,0
29239,8528,hmi.sharp_cea_720s.8528.20220826_130000_TAI,1
16912,4512,hmi.sharp_cea_720s.4512.20140901_000000_TAI,0
18530,5604,hmi.sharp_cea_720s.5604.20150522_000000_TAI,0
4449,750,hmi.sharp_cea_720s.750.20110729_010000_TAI,1
1606,330,hmi.sharp_cea_720s.330.20110104_080000_TAI,0
2366,401,hmi.sharp_cea_720s.401.20110307_070000_TAI,1
3528,625,hmi.sharp_cea_720s.625.20110525_060000_TAI,1
8242,1309,hmi.sharp_cea_720s.1309.20120119_040000_TAI,1
24214,6975,hmi.sharp_cea_720s.6975.20170401_160000_TAI,1
6482,1005,hmi.sharp_cea_720s.1005.20111101_080000_TAI,0
629,130,hmi.sharp_cea_720s.130.20100820_010000_TAI,0
6720,1075,hmi.sharp_cea_720s.1075.20111113_200000_TAI,1
14379,3174,hmi.sharp_cea_720s.3174.20130914_160000_TAI,0
28350,7618,hmi.sharp_cea_720s.7618.20210623_000000_TAI,0
30021,8602,hmi.sharp_cea_720s.8602.20220918_040000_TAI,1
22940,6242,hmi.sharp_cea_720s.6242.20160115_200000_TAI,1
24919,7103,hmi.sharp_cea_720s.7103.20170811_080000_TAI,0
19379,5709,hmi.sharp_cea_720s.5709.20150623_000000_TAI,0
17006,4536,hmi.sharp_cea_720s.4536.20140912_000000_TAI,0
1517,321,hmi.sharp_cea_720s.321.20110105_080000_TAI,0
12718,2901,hmi.sharp_cea_720s.2901.20130626_100000_TAI,0
28703,7670,hmi.sharp_cea_720s.7670.20210721_120000_TAI,1
10738,2636,hmi.sharp_cea_720s.2636.20130411_160000_TAI,1
29284,8539,hmi.sharp_cea_720s.8539.20220820_220000_TAI,1
20602,5916,hmi.sharp_cea_720s.5916.20150828_150000_TAI,1
3973,689,hmi.sharp_cea_720s.689.20110630_000000_TAI,0
17943,5519,hmi.sharp_cea_720s.5519.20150505_000000_TAI,0
26162,7303,hmi.sharp_cea_720s.7303.20180905_010000_TAI,0
12859,2922,hmi.sharp_cea_720s.2922.20130706_040000_TAI,1
11768,2739,hmi.sharp_cea_720s.2739.20130520_180000_TAI,1
10562,2635,hmi.sharp_cea_720s.2635.20130412_230000_TAI,1
4061,698,hmi.sharp_cea_720s.698.20110712_080000_TAI,0
27044,7468,hmi.sharp_cea_720s.7468.20201106_070000_TAI,1
23528,6870,hmi.sharp_cea_720s.6870.20161130_170000_TAI,0
29660,8558,hmi.sharp_cea_720s.8558.20220902_080000_TAI,1
7310,1149,hmi.sharp_cea_720s.1149.20111205_010000_TAI,1
10976,2663,hmi.sharp_cea_720s.2663.20130422_000000_TAI,0
17591,4678,hmi.sharp_cea_720s.4678.20141022_000000_TAI,0
11122,2677,hmi.sharp_cea_720s.2677.20130423_080000_TAI,0
29755,8575,hmi.sharp_cea_720s.8575.20220911_080000_TAI,0
18960,5673,hmi.sharp_cea_720s.5673.20150616_170000_TAI,1
19476,5739,hmi.sharp_cea_720s.5739.20150706_150000_TAI,0
8971,1447,hmi.sharp_cea_720s.1447.20120308_220000_TAI,1
11101,2673,hmi.sharp_cea_720s.2673.20130423_120000_TAI,1
8606,1390,hmi.sharp_cea_720s.1390.20120210_080000_TAI,0
1627,335,hmi.sharp_cea_720s.335.20110111_080000_TAI,0
14748,4070,hmi.sharp_cea_720s.4070.20140425_180000_TAI,0
3627,647,hmi.sharp_cea_720s.647.20110601_000000_TAI,0
12655,2887,hmi.sharp_cea_720s.2887.20130629_170000_TAI,1
8694,1405,hmi.sharp_cea_720s.1405.20120219_170000_TAI,1
10139,2560,hmi.sharp_cea_720s.2560.20130313_010000_TAI,1
16676,4432,hmi.sharp_cea_720s.4432.20140804_080000_TAI,0
25762,7237,hmi.sharp_cea_720s.7237.20180207_160000_TAI,0
16255,4321,hmi.sharp_cea_720s.4321.20140711_230000_TAI,1
20395,5885,hmi.sharp_cea_720s.5885.20150823_010000_TAI,1
2534,407,hmi.sharp_cea_720s.407.20110309_040000_TAI,1
3245,567,hmi.sharp_cea_720s.567.20110501_170000_TAI,0
25622,7202,hmi.sharp_cea_720s.7202.20171207_000000_TAI,0
22641,6206,hmi.sharp_cea_720s.6206.20151224_080000_TAI,1
14577,4042,hmi.sharp_cea_720s.4042.20140424_080000_TAI,0
27860,7570,hmi.sharp_cea_720s.7570.20210424_150000_TAI,1
19182,5692,hmi.sharp_cea_720s.5692.20150619_120000_TAI,1
26448,7350,hmi.sharp_cea_720s.7350.20190321_060000_TAI,1
6778,1080,hmi.sharp_cea_720s.1080.20111118_080000_TAI,0
12094,2776,hmi.sharp_cea_720s.2776.20130524_080000_TAI,0
27343,7493,hmi.sharp_cea_720s.7493.20201206_100000_TAI,1
24148,6975,hmi.sharp_cea_720s.6975.20170327_170000_TAI,1
11200,2691,hmi.sharp_cea_720s.2691.20130430_020000_TAI,1
26642,7385,hmi.sharp_cea_720s.7385.20191001_200000_TAI,0
8635,1396,hmi.sharp_cea_720s.1396.20120219_080000_TAI,0
12964,2952,hmi.sharp_cea_720s.2952.20130712_140000_TAI,1
14589,4042,hmi.sharp_cea_720s.4042.20140425_110000_TAI,1
27378,7498,hmi.sharp_cea_720s.7498.20201205_080000_TAI,0
8246,1309,hmi.sharp_cea_720s.1309.20120119_080000_TAI,1
26986,7461,hmi.sharp_cea_720s.7461.20201025_080000_TAI,0
1251,268,hmi.sharp_cea_720s.268.20101123_080000_TAI,0
11036,2673,hmi.sharp_cea_720s.2673.20130420_190000_TAI,1
29370,8540,hmi.sharp_cea_720s.8540.20220827_010000_TAI,1
6376,956,hmi.sharp_cea_720s.956.20111015_030000_TAI,1
5862,892,hmi.sharp_cea_720s.892.20110930_010000_TAI,1
16477,4379,hmi.sharp_cea_720s.4379.20140724_150000_TAI,1
26795,7422,hmi.sharp_cea_720s.7422.20200611_160000_TAI,0
29105,8524,hmi.sharp_cea_720s.8524.20220821_210000_TAI,1
29310,8539,hmi.sharp_cea_720s.8539.20220822_050000_TAI,1
2490,401,hmi.sharp_cea_720s.401.20110312_220000_TAI,1
12772,2910,hmi.sharp_cea_720s.2910.20130627_200000_TAI,0
7710,1237,hmi.sharp_cea_720s.1237.20111230_180000_TAI,1
23182,6794,hmi.sharp_cea_720s.6794.20161011_230000_TAI,1
13004,2952,hmi.sharp_cea_720s.2952.20130715_020000_TAI,1
29123,8524,hmi.sharp_cea_720s.8524.20220822_150000_TAI,1
20625,5916,hmi.sharp_cea_720s.5916.20150829_170000_TAI,1
14141,3129,hmi.sharp_cea_720s.3129.20130831_110000_TAI,1
26941,7450,hmi.sharp_cea_720s.7450.20200930_160000_TAI,0
6790,1080,hmi.sharp_cea_720s.1080.20111119_180000_TAI,1
7952,1275,hmi.sharp_cea_720s.1275.20120107_040000_TAI,1
8819,1417,hmi.sharp_cea_720s.1417.20120220_010000_TAI,0
4484,750,hmi.sharp_cea_720s.750.20110730_120000_TAI,1
3842,676,hmi.sharp_cea_720s.676.20110618_180000_TAI,0
29529,8546,hmi.sharp_cea_720s.8546.20220831_080000_TAI,1
7600,1215,hmi.sharp_cea_720s.1215.20111222_080000_TAI,0
28653,7665,hmi.sharp_cea_720s.7665.20210715_200000_TAI,1
3443,606,hmi.sharp_cea_720s.606.20110522_080000_TAI,0
4191,728,hmi.sharp_cea_720s.728.20110714_160000_TAI,0
7599,1215,hmi.sharp_cea_720s.1215.20111221_080000_TAI,0
931,211,hmi.sharp_cea_720s.211.20101016_040000_TAI,1
12545,2875,hmi.sharp_cea_720s.2875.20130621_160000_TAI,1
10287,2597,hmi.sharp_cea_720s.2597.20130403_200000_TAI,1
18550,5615,hmi.sharp_cea_720s.5615.20150523_190000_TAI,0
13729,3068,hmi.sharp_cea_720s.3068.20130818_220000_TAI,1
5518,847,hmi.sharp_cea_720s.847.20110916_160000_TAI,0
3828,674,hmi.sharp_cea_720s.674.20110618_190000_TAI,0
8066,1295,hmi.sharp_cea_720s.1295.20120111_000000_TAI,0
28479,7633,hmi.sharp_cea_720s.7633.20210705_090000_TAI,1
17351,4613,hmi.sharp_cea_720s.4613.20141003_080000_TAI,0
17109,4557,hmi.sharp_cea_720s.4557.20140913_000000_TAI,0
10681,2636,hmi.sharp_cea_720s.2636.20130409_000000_TAI,1
16336,4343,hmi.sharp_cea_720s.4343.20140705_230000_TAI,0
8145,1302,hmi.sharp_cea_720s.1302.20120109_000000_TAI,0
4156,717,hmi.sharp_cea_720s.717.20110712_050000_TAI,0
16973,4528,hmi.sharp_cea_720s.4528.20140904_000000_TAI,0
16258,4321,hmi.sharp_cea_720s.4321.20140712_020000_TAI,1
10958,2663,hmi.sharp_cea_720s.2663.20130421_030000_TAI,1
27764,7569,hmi.sharp_cea_720s.7569.20210417_080000_TAI,0
13991,3113,hmi.sharp_cea_720s.3113.20130822_070000_TAI,0
4969,766,hmi.sharp_cea_720s.766.20110806_080000_TAI,0
25676,7220,hmi.sharp_cea_720s.7220.20180102_150000_TAI,0
6803,1080,hmi.sharp_cea_720s.1080.20111120_070000_TAI,1
29864,8589,hmi.sharp_cea_720s.8589.20220916_080000_TAI,1
13695,3064,hmi.sharp_cea_720s.3064.20130811_200000_TAI,0
2692,415,hmi.sharp_cea_720s.415.20110308_170000_TAI,1
3062,508,hmi.sharp_cea_720s.508.20110416_080000_TAI,0
3545,625,hmi.sharp_cea_720s.625.20110526_000000_TAI,0
10239,2585,hmi.sharp_cea_720s.2585.20130325_080000_TAI,0
10346,2597,hmi.sharp_cea_720s.2597.20130408_170000_TAI,1
21575,6015,hmi.sharp_cea_720s.6015.20151023_060000_TAI,1
668,146,hmi.sharp_cea_720s.146.20100829_080000_TAI,0
23660,6893,hmi.sharp_cea_720s.6893.20161230_000000_TAI,0
3428,605,hmi.sharp_cea_720s.605.20110520_080000_TAI,0
22909,6242,hmi.sharp_cea_720s.6242.20160114_130000_TAI,1
11681,2735,hmi.sharp_cea_720s.2735.20130517_030000_TAI,1
15972,4288,hmi.sharp_cea_720s.4288.20140627_070000_TAI,1
15277,4133,hmi.sharp_cea_720s.4133.20140516_200000_TAI,1
2075,393,hmi.sharp_cea_720s.393.20110228_040000_TAI,1
5348,833,hmi.sharp_cea_720s.833.20110905_080000_TAI,1
10816,2645,hmi.sharp_cea_720s.2645.20130412_080000_TAI,0
7080,1113,hmi.sharp_cea_720s.1113.20111127_020000_TAI,1
25997,7269,hmi.sharp_cea_720s.7269.20180614_080000_TAI,0
25980,7262,hmi.sharp_cea_720s.7262.20180530_160000_TAI,0
26394,7348,hmi.sharp_cea_720s.7348.20190308_030000_TAI,1
15293,4133,hmi.sharp_cea_720s.4133.20140518_020000_TAI,1
12728,2904,hmi.sharp_cea_720s.2904.20130629_200000_TAI,1
12884,2925,hmi.sharp_cea_720s.2925.20130706_080000_TAI,0
27419,7502,hmi.sharp_cea_720s.7502.20201214_220000_TAI,0
8561,1386,hmi.sharp_cea_720s.1386.20120209_080000_TAI,0
4287,745,hmi.sharp_cea_720s.745.20110730_080000_TAI,0
10786,2636,hmi.sharp_cea_720s.2636.20130413_160000_TAI,1
14087,3124,hmi.sharp_cea_720s.3124.20130830_080000_TAI,0
183,51,hmi.sharp_cea_720s.51.20100611_170000_TAI,1
12490,2873,hmi.sharp_cea_720s.2873.20130625_080000_TAI,0
26900,7443,hmi.sharp_cea_720s.7443.20200829_080000_TAI,0
22562,6205,hmi.sharp_cea_720s.6205.20151224_110000_TAI,0
21467,6015,hmi.sharp_cea_720s.6015.20151016_070000_TAI,1
23167,6794,hmi.sharp_cea_720s.6794.20161008_080000_TAI,0
6861,1088,hmi.sharp_cea_720s.1088.20111116_080000_TAI,0
9726,2502,hmi.sharp_cea_720s.2502.20130301_080000_TAI,0
20015,5848,hmi.sharp_cea_720s.5848.20150804_150000_TAI,0
18180,5537,hmi.sharp_cea_720s.5537.20150509_080000_TAI,0
14915,4082,hmi.sharp_cea_720s.4082.20140503_080000_TAI,0
27056,7468,hmi.sharp_cea_720s.7468.20201106_190000_TAI,1
23592,6874,hmi.sharp_cea_720s.6874.20161129_170000_TAI,0
22964,6247,hmi.sharp_cea_720s.6247.20160108_110000_TAI,0
655,145,hmi.sharp_cea_720s.145.20100828_080000_TAI,0
16270,4321,hmi.sharp_cea_720s.4321.20140712_140000_TAI,1
3105,533,hmi.sharp_cea_720s.533.20110425_150000_TAI,0
15119,4116,hmi.sharp_cea_720s.4116.20140513_080000_TAI,0
6365,956,hmi.sharp_cea_720s.956.20111014_160000_TAI,1
16780,4460,hmi.sharp_cea_720s.4460.20140815_020000_TAI,0
25047,7109,hmi.sharp_cea_720s.7109.20170819_170000_TAI,0
137,43,hmi.sharp_cea_720s.43.20100603_080000_TAI,0
6737,1075,hmi.sharp_cea_720s.1075.20111114_130000_TAI,1
23212,6798,hmi.sharp_cea_720s.6798.20161013_080000_TAI,0
9748,2506,hmi.sharp_cea_720s.2506.20130228_000000_TAI,0
30037,8602,hmi.sharp_cea_720s.8602.20220918_200000_TAI,1
22397,6172,hmi.sharp_cea_720s.6172.20151218_230000_TAI,1
15220,4133,hmi.sharp_cea_720s.4133.20140513_200000_TAI,1
21139,5983,hmi.sharp_cea_720s.5983.20150925_090000_TAI,1
571,115,hmi.sharp_cea_720s.115.20100805_170000_TAI,0
15557,4197,hmi.sharp_cea_720s.4197.20140612_000000_TAI,0
20375,5885,hmi.sharp_cea_720s.5885.20150822_050000_TAI,1
10964,2663,hmi.sharp_cea_720s.2663.20130421_090000_TAI,1
5758,892,hmi.sharp_cea_720s.892.20110924_200000_TAI,1
1154,233,hmi.sharp_cea_720s.233.20101022_170000_TAI,0
26102,7292,hmi.sharp_cea_720s.7292.20180809_080000_TAI,0
19857,5808,hmi.sharp_cea_720s.5808.20150726_060000_TAI,1
18045,5526,hmi.sharp_cea_720s.5526.20150505_220000_TAI,1
1262,270,hmi.sharp_cea_720s.270.20101204_010000_TAI,0
23522,6870,hmi.sharp_cea_720s.6870.20161130_100000_TAI,1
7120,1119,hmi.sharp_cea_720s.1119.20111128_120000_TAI,1
5052,785,hmi.sharp_cea_720s.785.20110814_080000_TAI,0
17343,4613,hmi.sharp_cea_720s.4613.20140925_210000_TAI,0
9088,1461,hmi.sharp_cea_720s.1461.20120312_050000_TAI,1
1700,358,hmi.sharp_cea_720s.358.20110131_080000_TAI,0
28510,7638,hmi.sharp_cea_720s.7638.20210627_180000_TAI,1
3673,661,hmi.sharp_cea_720s.661.20110614_170000_TAI,1
6993,1092,hmi.sharp_cea_720s.1092.20111121_190000_TAI,1
5167,802,hmi.sharp_cea_720s.802.20110820_080000_TAI,0
21504,6015,hmi.sharp_cea_720s.6015.20151017_200000_TAI,1
8030,1279,hmi.sharp_cea_720s.1279.20120102_130000_TAI,0
19320,5692,hmi.sharp_cea_720s.5692.20150625_070000_TAI,1
22151,6151,hmi.sharp_cea_720s.6151.20151201_220000_TAI,0
26833,7435,hmi.sharp_cea_720s.7435.20200807_000000_TAI,0
19178,5692,hmi.sharp_cea_720s.5692.20150619_080000_TAI,1
19431,5724,hmi.sharp_cea_720s.5724.20150705_080000_TAI,0
10114,2557,hmi.sharp_cea_720s.2557.20130319_000000_TAI,1
14999,4088,hmi.sharp_cea_720s.4088.20140510_190000_TAI,0
30207,8627,hmi.sharp_cea_720s.8627.20220925_080000_TAI,0
20642,5916,hmi.sharp_cea_720s.5916.20150830_130000_TAI,1
16417,4367,hmi.sharp_cea_720s.4367.20140716_150000_TAI,0
13216,2982,hmi.sharp_cea_720s.2982.20130720_080000_TAI,0
16231,4321,hmi.sharp_cea_720s.4321.20140710_190000_TAI,1
3194,545,hmi.sharp_cea_720s.545.20110429_080000_TAI,0
18562,5616,hmi.sharp_cea_720s.5616.20150525_080000_TAI,0
854,190,hmi.sharp_cea_720s.190.20100928_030000_TAI,1
28222,7598,hmi.sharp_cea_720s.7598.20210526_140000_TAI,1
16661,4424,hmi.sharp_cea_720s.4424.20140805_080000_TAI,0
3445,606,hmi.sharp_cea_720s.606.20110524_000000_TAI,0
7895,1271,hmi.sharp_cea_720s.1271.20120105_170000_TAI,1
2327,401,hmi.sharp_cea_720s.401.20110305_160000_TAI,1
25086,7110,hmi.sharp_cea_720s.7110.20170824_150000_TAI,1
4625,750,hmi.sharp_cea_720s.750.20110805_100000_TAI,1
9084,1461,hmi.sharp_cea_720s.1461.20120312_010000_TAI,1
23256,6810,hmi.sharp_cea_720s.6810.20161022_080000_TAI,0
20794,5956,hmi.sharp_cea_720s.5956.20150914_140000_TAI,1
23066,6769,hmi.sharp_cea_720s.6769.20160925_030000_TAI,1
20872,5956,hmi.sharp_cea_720s.5956.20150918_060000_TAI,1
6060,902,hmi.sharp_cea_720s.902.20111002_080000_TAI,1
25175,7115,hmi.sharp_cea_720s.7115.20170905_140000_TAI,1
20202,5865,hmi.sharp_cea_720s.5865.20150812_000000_TAI,0
12958,2952,hmi.sharp_cea_720s.2952.20130712_080000_TAI,1
16251,4321,hmi.sharp_cea_720s.4321.20140711_190000_TAI,1
17970,5526,hmi.sharp_cea_720s.5526.20150502_170000_TAI,1
11241,2691,hmi.sharp_cea_720s.2691.20130501_200000_TAI,1
21933,6078,hmi.sharp_cea_720s.6078.20151110_080000_TAI,0
6938,1092,hmi.sharp_cea_720s.1092.20111119_120000_TAI,1
12669,2887,hmi.sharp_cea_720s.2887.20130630_070000_TAI,1
25130,7115,hmi.sharp_cea_720s.7115.20170903_130000_TAI,1
429,92,hmi.sharp_cea_720s.92.20100725_080000_TAI,0
18958,5673,hmi.sharp_cea_720s.5673.20150616_150000_TAI,1
18502,5586,hmi.sharp_cea_720s.5586.20150528_000000_TAI,0
21335,5991,hmi.sharp_cea_720s.5991.20150930_150000_TAI,0
2150,393,hmi.sharp_cea_720s.393.20110303_070000_TAI,1
822,187,hmi.sharp_cea_720s.187.20101001_000000_TAI,0
3419,602,hmi.sharp_cea_720s.602.20110519_080000_TAI,0
17451,4623,hmi.sharp_cea_720s.4623.20141006_030000_TAI,1
13945,3103,hmi.sharp_cea_720s.3103.20130822_200000_TAI,1
21578,6015,hmi.sharp_cea_720s.6015.20151023_090000_TAI,1
23073,6769,hmi.sharp_cea_720s.6769.20160925_100000_TAI,1
26449,7350,hmi.sharp_cea_720s.7350.20190321_070000_TAI,1
23353,6833,hmi.sharp_cea_720s.6833.20161105_000000_TAI,0
4394,748,hmi.sharp_cea_720s.748.20110730_030000_TAI,1
14470,4022,hmi.sharp_cea_720s.4022.20140416_150000_TAI,0
24794,7075,hmi.sharp_cea_720s.7075.20170714_150000_TAI,1
5007,774,hmi.sharp_cea_720s.774.20110811_080000_TAI,0
19397,5712,hmi.sharp_cea_720s.5712.20150627_080000_TAI,0
2060,393,hmi.sharp_cea_720s.393.20110227_130000_TAI,1
6,1,hmi.sharp_cea_720s.1.20100508_080000_TAI,0
